,Player_ID,Players,Season,5v5 TOI,Shots/60,A1/60,Shot Contributions/60,Entries/60,Carries/60,Exits/60,Exits w/Possession/60,Failed Exit/60,Targets/60,Carry Against/60,Denial/60,Passes Allowed/60,Team,Pos.
0,5EBASTIAN.AHO,5ebastian Aho,21,223.55,5.1,5.64,14.49,5.636,1.879,6.978,6.442,3.22,24.69246254,17.98255424,2.415566987,3.757548647,,
1,A.J..GREER,A.J. Greer,21,30.1,5.98,9.97,15.95,15.947,9.967,5.98,3.987,3.99,0,0,0,0,,
278,AARON.EKBLAD,Aaron Ekblad,18,175.7,10.24,5.12,18.1,6.15,0.68,22.88,8.2,7.85,45.07683552,19.12350598,10.9277177,7.512805919,FLA,D
352,AARON.EKBLAD,Aaron Ekblad,19,381.46,11.48,7.24,18.72,8.02,4.09,19.5,8.34,5.51,21.55,11.63949038,2.359356158,3.932260263,FLA,D
2,AARON.EKBLAD,Aaron Ekblad,21,443.5,12.31,7.17,24.62,5.682,2.57,8.253,6.629,2.03,22.86358512,11.22886133,3.65276212,3.111612176,,
33,AARON.NESS,Aaron Ness,19,116.72,5.14,3.6,8.74,9.25,2.57,15.94,5.65,8.74,15.42,9.766963674,1.542152159,1.542152159,ARI,D
3,ADAM.BECKMAN,Adam Beckman,21,10.78,16.69,16.69,33.38,16.692,16.692,0,0,5.56,0,0,0,0,,
203,ADAM.BOQVIST,Adam Boqvist,19,124.12,8.22,6.77,14.99,7.73,1.93,19.34,11.12,3.38,24.65,14.01869159,5.317434741,6.284241057,CHI,D
4,ADAM.BOQVIST,Adam Boqvist,21,240.77,7.23,4.73,16.2,7.227,3.987,6.23,4.236,3.74,23.92357746,16.94586737,2.492039319,4.236466842,,
5,ADAM.BROOKS,Adam Brooks,21,72.37,1.66,10.78,14.09,11.608,6.633,7.462,7.462,0,1.658222018,0.829111009,0,0,,
129,ADAM.CLENDENING,Adam Clendening,18,35.46666667,20.3,3.4,30.5,1.69,1.69,37.22,16.92,11.84,,,,,CBJ,D
