"Player","EH_ID","API ID","Season","Team","Position","Catches","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Aaron Dell","AARON.DELL","8477180","16-17","S.J","G","L",1989-05-04,27,2007,NA,NA,20,1110.55,36.83,529.11,751.2,46.19,93.04,95.1,93.85,1.25,8.91,9.36
"Aaron Dell","AARON.DELL","8477180","17-18","S.J","G","L",1989-05-04,28,2007,NA,NA,29,1522.08,66.42,763.42,1064.21,67.52,91.3,93.76,93.66,0.1,0.54,1.1
"Aaron Dell","AARON.DELL","8477180","18-19","S.J","G","L",1989-05-04,29,2007,NA,NA,25,1323.28,68.73,613.65,857.04,61.18,88.8,91.98,92.86,-0.88,-13.41,-7.55
"Aaron Dell","AARON.DELL","8477180","19-20","S.J","G","L",1989-05-04,30,2007,NA,NA,33,1834.23,91.06,994.37,1352.1,92.16,90.84,93.27,93.18,0.08,-1.2,1.1
"Aaron Dell","AARON.DELL","8477180","20-21","N.J","G","L",1989-05-04,31,2007,NA,NA,7,319.17,21.45,153.29,210.23,11.91,86.01,89.8,94.33,-4.54,-7.35,-9.54
"Aaron Dell","AARON.DELL","8477180","21-22","BUF","G","L",1989-05-04,32,2007,NA,NA,12,565.38,37.95,356.65,467.99,30.45,89.36,91.89,93.49,-1.6,-4.85,-7.5
"Adam Huska","ADAM.HUSKA","8478903","21-22","NYR","G","L",1997-05-12,24,2015,7,184,1,59.7,7.53,42.56,55.97,3.5,82.31,86.55,93.75,-7.2,-3.58,-4.03
"Adam Werner","ADAM.WERNER","8479530","19-20","COL","G","L",1997-05-02,22,2016,5,131,2,87.83,4.85,54.22,65.83,3.76,91.05,92.63,94.29,-1.66,0.05,-1.09
"Adam Wilcox","ADAM.WILCOX","8476330","17-18","BUF","G","L",1992-11-26,24,2011,6,178,1,38.65,0,15.22,26.34,1.22,100,100,95.37,4.63,1.34,1.22
"Adin Hill","ADIN.HILL","8478499","17-18","ARI","G","L",1996-05-11,21,2015,3,76,4,240.75,14.13,133.5,187.57,13.54,89.42,92.47,92.78,-0.31,-2.42,-0.59
"Adin Hill","ADIN.HILL","8478499","18-19","ARI","G","L",1996-05-11,22,2015,3,76,13,696.35,32,320.92,469.67,31.05,90.03,93.19,93.39,-0.2,-3.07,-0.95
"Adin Hill","ADIN.HILL","8478499","19-20","ARI","G","L",1996-05-11,23,2015,3,76,13,640.77,27.41,344.91,489.51,27.68,92.05,94.4,94.35,0.06,3.75,0.27
"Adin Hill","ADIN.HILL","8478499","20-21","ARI","G","L",1996-05-11,24,2015,3,76,19,1005.9,45.09,525.84,721.37,44.98,91.43,93.75,93.76,-0.02,3.31,-0.11
"Adin Hill","ADIN.HILL","8478499","21-22","S.J","G","L",1996-05-11,25,2015,3,76,25,1375.95,62.41,665.7,927.62,55.5,90.62,93.27,94.02,-0.74,-0.63,-6.91
"Akira Schmid","AKIRA.SCHMID","8481033","21-22","N.J","G","L",2000-05-12,21,2018,5,136,6,235.98,18.53,114.44,150.54,8.87,83.81,87.69,94.11,-6.42,-7.9,-9.66
"Al Montoya","AL.MONTOYA","8471219","08-09","ARI","G","L",1985-02-13,23,2004,1,6,5,259.47,8.91,116.38,164.13,9.34,92.34,94.57,94.31,0.26,1.74,0.43
"Al Montoya","AL.MONTOYA","8471219","10-11","NYI","G","L",1985-02-13,25,2004,1,6,20,1153.78,46.25,586.74,845.63,62,92.12,94.53,92.67,1.86,4.93,15.75
"Al Montoya","AL.MONTOYA","8471219","11-12","NYI","G","L",1985-02-13,26,2004,1,6,31,1719.7,89.53,834.35,1142.03,81.52,89.27,92.16,92.86,-0.7,-17.32,-8.01
"Al Montoya","AL.MONTOYA","8471219","12-13","WPG","G","L",1985-02-13,27,2004,1,6,7,351.35,17.6,172.64,259.49,14.14,89.81,93.22,94.55,-1.33,-2.39,-3.46
"Al Montoya","AL.MONTOYA","8471219","13-14","WPG","G","L",1985-02-13,28,2004,1,6,28,1540.9,57.68,738.24,1005.46,61.86,92.19,94.26,93.85,0.42,5.8,4.18
"Al Montoya","AL.MONTOYA","8471219","14-15","FLA","G","L",1985-02-13,29,2004,1,6,20,976.93,48.66,456,658.27,41.28,89.33,92.61,93.73,-1.12,-9.78,-7.38
"Al Montoya","AL.MONTOYA","8471219","15-16","FLA","G","L",1985-02-13,30,2004,1,6,25,1351.23,48.07,600.76,854.62,52.93,92,94.38,93.81,0.57,3.12,4.86
"Al Montoya","AL.MONTOYA","8471219","16-17","MTL","G","L",1985-02-13,31,2004,1,6,19,1124.88,48.28,566.16,765.31,47.06,91.47,93.69,93.85,-0.16,0.67,-1.22
"Al Montoya","AL.MONTOYA","8471219","17-18","EDM/MTL","G","L",1985-02-13,32,2004,1,6,13,691.74,36.21,345.15,474.32,31.43,89.51,92.37,93.37,-1.01,-5.93,-4.78
"Alex Auld","ALEX.AULD","8467913","07-08","ARI/BOS","G","L",1981-01-07,26,1999,2,40,31,1661.72,75.55,805.9,1116.07,67.38,90.63,93.23,93.96,-0.73,-2.18,-8.17
"Alex Auld","ALEX.AULD","8467913","08-09","OTT","G","L",1981-01-07,27,1999,2,40,43,2449.43,99.43,1138.11,1570.61,95.34,91.26,93.67,93.93,-0.26,4.7,-4.09
"Alex Auld","ALEX.AULD","8467913","09-10","DAL/NYR","G","L",1981-01-07,28,1999,2,40,24,1299.54,63.06,611.52,880.35,48.2,89.69,92.84,94.52,-1.69,-8.81,-14.86
"Alex Auld","ALEX.AULD","8467913","10-11","MTL","G","L",1981-01-07,29,1999,2,40,16,748.58,32.81,381.15,546.49,37.73,91.39,94,93.1,0.9,0.44,4.92
"Alex Auld","ALEX.AULD","8467913","11-12","OTT","G","L",1981-01-07,30,1999,2,40,14,645.03,36.8,325.36,455.8,29.6,88.69,91.93,93.51,-1.58,-8.65,-7.2
"Alex Lyon","ALEX.LYON","8479312","17-18","PHI","G","L",1992-12-09,24,2011,NA,NA,11,479.8,21.55,234.04,332.88,20.99,90.79,93.53,93.69,-0.17,-1.02,-0.56
"Alex Lyon","ALEX.LYON","8479312","18-19","PHI","G","L",1992-12-09,25,2011,NA,NA,2,70.82,5.89,32.81,44.87,2.69,82.05,86.87,94,-7.13,-2.93,-3.2
"Alex Lyon","ALEX.LYON","8479312","19-20","PHI","G","L",1992-12-09,26,2011,NA,NA,3,135.32,8.29,77.42,102.29,7.32,89.29,91.9,92.84,-0.95,-1.29,-0.97
"Alex Lyon","ALEX.LYON","8479312","20-21","PHI","G","L",1992-12-09,27,2011,NA,NA,6,324.15,18.19,171.55,231.62,13.6,89.4,92.15,94.13,-1.98,-2.4,-4.59
"Alex Lyon","ALEX.LYON","8479312","21-22","CAR","G","L",1992-12-09,28,2011,NA,NA,2,122.82,6.18,67.16,97.83,8.05,90.8,93.68,91.77,1.91,0.05,1.87
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","16-17","CAR","G","L",1996-01-07,20,2014,2,37,1,29.95,0,18.71,25.37,1.42,100,100,94.4,5.6,1.62,1.42
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","18-19","CAR","G","L",1996-01-07,22,2014,2,37,1,60,1.88,23.47,35.01,1.39,91.99,94.63,96.03,-1.4,0.23,-0.49
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","19-20","CAR","G","L",1996-01-07,23,2014,2,37,4,216.32,11.2,100.51,134.2,9.27,88.86,91.65,93.09,-1.44,-2.12,-1.93
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","20-21","CAR","G","L",1996-01-07,24,2014,2,37,23,1392.03,43.43,632.33,880.97,56.68,93.13,95.07,93.57,1.5,14.76,13.25
"Alex Nedeljkovic","ALEX.NEDELJKOVIC","8477968","21-22","DET","G","L",1996-01-07,25,2014,2,37,59,3230.8,180.28,1830.85,2425.82,168.76,90.15,92.57,93.04,-0.47,-10.36,-11.52
"Alex Pechurski","ALEX.PECHURSKI","8474708","09-10","PIT","G","L",1990-06-04,19,2008,5,150,1,35.52,0.99,14.18,25.95,1.15,93.02,96.18,95.57,0.62,0.26,0.16
"Alex Salak","ALEX.SALAK","8475130","09-10","FLA","G","L",1987-01-05,22,2005,NA,NA,2,66.58,5.83,42.52,60.63,4.54,86.29,90.38,92.51,-2.13,-2.06,-1.29
"Alex Stalock","ALEX.STALOCK","8471774","10-11","S.J","G","L",1987-07-28,23,2005,4,112,1,29.78,0,9.99,16.25,1.13,100,100,93.05,6.95,0.87,1.13
"Alex Stalock","ALEX.STALOCK","8471774","12-13","S.J","G","L",1987-07-28,25,2005,4,112,2,41.82,2.07,13.83,22.45,1.15,85.03,90.78,94.88,-4.1,-0.85,-0.92
"Alex Stalock","ALEX.STALOCK","8471774","13-14","S.J","G","L",1987-07-28,26,2005,4,112,24,1232.95,36.95,560.46,760.7,43.52,93.41,95.14,94.28,0.86,11.25,6.57
"Alex Stalock","ALEX.STALOCK","8471774","14-15","S.J","G","L",1987-07-28,27,2005,4,112,22,1236.5,54.26,556.45,767.85,51.19,90.25,92.93,93.33,-0.4,-6.81,-3.07
"Alex Stalock","ALEX.STALOCK","8471774","15-16","S.J","G","L",1987-07-28,28,2005,4,112,13,674.13,33.22,290.59,384.93,24.23,88.57,91.37,93.71,-2.34,-8.46,-8.99
"Alex Stalock","ALEX.STALOCK","8471774","16-17","MIN","G","L",1987-07-28,29,2005,4,112,2,118.92,2.99,53.89,76.18,4.45,94.45,96.08,94.16,1.92,1.66,1.46
"Alex Stalock","ALEX.STALOCK","8471774","17-18","MIN","G","L",1987-07-28,30,2005,4,112,28,1495.27,69.16,784.45,1127.65,61.78,91.18,93.87,94.52,-0.65,-0.36,-7.38
"Alex Stalock","ALEX.STALOCK","8471774","18-19","MIN","G","L",1987-07-28,31,2005,4,112,21,1065.1,53.77,547.06,784.01,44.61,90.17,93.14,94.31,-1.17,-4.46,-9.16
"Alex Stalock","ALEX.STALOCK","8471774","19-20","MIN","G","L",1987-07-28,32,2005,4,112,38,2177.35,96.79,1062.14,1479.66,80.15,90.89,93.46,94.58,-1.12,-0.82,-16.64
"Alex Stalock","ALEX.STALOCK","8471774","21-22","S.J","G","L",1987-07-28,34,2005,4,112,1,46.12,6.42,31.42,45.66,3.05,79.57,85.94,93.32,-7.38,-3.5,-3.37
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","17-18","NYR","G","L",1996-02-10,21,2014,NA,NA,10,514.77,27.46,337.69,444.9,28.73,91.87,93.83,93.54,0.29,2.16,1.27
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","18-19","NYR","G","L",1996-02-10,22,2014,NA,NA,33,1874.17,90.28,1060.07,1471.99,99.51,91.48,93.87,93.24,0.63,5.28,9.23
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","19-20","NYR","G","L",1996-02-10,23,2014,NA,NA,34,1891.73,96.56,1065.09,1484.47,98.47,90.93,93.5,93.37,0.13,-0.32,1.91
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","20-21","NYR","G","L",1996-02-10,24,2014,NA,NA,19,973.93,43.97,463.67,667.65,40.87,90.52,93.41,93.88,-0.46,-1.3,-3.1
"Alexandar Georgiev","ALEXANDAR.GEORGIEV","8480382","21-22","NYR","G","L",1996-02-10,25,2014,NA,NA,33,1746.1,84.06,833.1,1190.45,78.76,89.91,92.94,93.38,-0.45,-6.74,-5.3
