"Player","EH_ID","API ID","Season","Team","Position","Catches","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_EV","TOI_SH","FA_EV","FA_SH","EVD_GAR","SHD_GAR","Take_GAR","Draw_GAR","GAR","WAR","SPAR"
"Aaron Dell","AARON.DELL","8477180","16-17","S.J","G","L",1989-05-04,27,2007,NA,NA,20,1110.6,62.5,643,79,16,-0.6,0.1,-0.2,15.2,2.9,5.5
"Aaron Dell","AARON.DELL","8477180","17-18","S.J","G","L",1989-05-04,28,2007,NA,NA,29,1522.1,120.1,869,151,2.9,2.3,0.1,0.2,5.5,1.1,2
"Aaron Dell","AARON.DELL","8477180","18-19","S.J","G","L",1989-05-04,29,2007,NA,NA,25,1323.3,112.4,696,131,-1.6,-3.7,0.1,-0.1,-5.4,-1,-1.9
"Aaron Dell","AARON.DELL","8477180","19-20","S.J","G","L",1989-05-04,30,2007,NA,NA,33,1834.2,149.1,1082,180,5.7,3.1,0.1,0,8.9,1.6,3
"Aaron Dell","AARON.DELL","8477180","20-21","N.J","G","L",1989-05-04,31,2007,NA,NA,7,254.7,24.6,175,32,-4.1,-2.4,0,0,-6.6,-1.2,-2.2
"Aaron Dell","AARON.DELL","8477180","21-22","BUF","G","L",1989-05-04,32,2007,NA,NA,12,462.8,42.8,378,62,0.8,-5,-0.1,0.1,-4.2,-0.7,-1.4
"Adam Huska","ADAM.HUSKA","8478903","21-22","NYR","G","L",1997-05-12,24,2015,7,184,1,40.5,9.5,35,13,-1.2,0.1,0,0.2,-1,-0.2,-0.3
"Adam Werner","ADAM.WERNER","8479530","19-20","COL","G","L",1997-05-02,22,2016,5,131,2,87.8,7.6,49,18,0.5,-0.1,0,0,0.4,0.1,0.1
"Adam Wilcox","ADAM.WILCOX","8476330","17-18","BUF","G","L",1992-11-26,24,2011,6,178,1,38.6,1.6,20,4,0.2,0,0,0,0.2,0,0.1
"Adin Hill","ADIN.HILL","8478499","17-18","ARI","G","L",1996-05-11,21,2015,3,76,4,240.8,14.8,163,17,0.3,0.1,0,0,0.3,0.1,0.1
"Adin Hill","ADIN.HILL","8478499","18-19","ARI","G","L",1996-05-11,22,2015,3,76,13,696.4,52.5,385,62,-0.9,1.5,0,-0.1,0.6,0.1,0.2
"Adin Hill","ADIN.HILL","8478499","19-20","ARI","G","L",1996-05-11,23,2015,3,76,13,640.8,40.2,402,56,5.8,-2.1,-0.1,-0.1,3.5,0.6,1.2
"Adin Hill","ADIN.HILL","8478499","20-21","ARI","G","L",1996-05-11,24,2015,3,76,19,839.4,67.2,609,88,2.5,3,0,-0.1,5.4,1,1.8
"Adin Hill","ADIN.HILL","8478499","21-22","S.J","G","L",1996-05-11,25,2015,3,76,25,1162.9,96.2,754,112,4.5,-0.2,0.1,0.3,4.6,0.8,1.5
"Akira Schmid","AKIRA.SCHMID","8481033","21-22","N.J","G","L",2000-05-12,21,2018,5,136,6,206.2,12.3,137,9,-8.6,0,0,0,-8.7,-1.5,-2.9
"Al Montoya","AL.MONTOYA","8471219","08-09","ARI","G","L",1985-02-13,23,2004,1,6,5,259.5,25.1,136,32,0.6,0.4,0,-0.1,0.9,0.2,0.3
"Al Montoya","AL.MONTOYA","8471219","10-11","NYI","G","L",1985-02-13,25,2004,1,6,20,1153.8,109.9,683,137,12.8,3.1,-0.1,-0.4,15.5,2.8,5.3
