"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","07-08",82,3541.17,53.35,49.99,50.53,51.05,48.56,1.88,1.64,25.96,25.97,36.09,35.33,45.81,43.93,1.87,1.98,0.24,-0.01,0.76,1.88,-0.11,7.24,93.67
"Coyotes","ARI","07-08",82,3692.1,47.58,49.72,48.99,48.86,47.63,1.97,2.17,30.13,30.46,40.75,42.44,52.06,54.49,2.1,2.3,-0.2,-0.33,-1.69,-2.43,-0.21,6.54,92.87
"Thrashers","ATL","07-08",82,3720.65,41.13,41.41,41.57,41.91,43.04,1.96,2.8,23.78,33.65,31.68,44.53,41.68,57.77,1.84,2.43,-0.84,-9.87,-12.85,-16.09,-0.59,8.22,91.68
"Bruins","BOS","07-08",81,3677.55,50.65,49.81,50.82,51.57,48.83,1.98,1.93,28.4,28.61,39.39,38.12,51.78,48.62,1.97,2.07,0.05,-0.21,1.27,3.16,-0.09,6.99,93.24
"Sabres","BUF","07-08",81,3589.13,51.99,50.85,50.07,49.28,50.81,2.63,2.43,29.01,28.03,38.5,38.38,49.89,51.35,2.13,2.06,0.2,0.98,0.11,-1.46,0.07,9.08,91.32
"Hurricanes","CAR","07-08",82,3558.35,51.27,52.88,52.1,51.99,50.81,2.55,2.43,31.99,28.5,43.68,40.16,58.14,53.68,2.48,2.4,0.13,3.49,3.52,4.45,0.08,7.98,91.49
"Blue Jackets","CBJ","07-08",82,3581.55,46.8,51.97,52.39,52.14,53.21,1.83,2.09,28.23,26.09,37.81,34.36,48.77,44.76,1.98,1.74,-0.25,2.14,3.45,4.01,0.24,6.5,92.01
"Flames","CGY","07-08",82,3607.12,52.49,50.12,51.03,52.59,52.98,2.39,2.16,27.47,27.34,38.92,37.35,51.16,46.13,2.21,1.96,0.23,0.13,1.58,5.04,0.25,8.7,92.09
"Blackhawks","CHI","07-08",81,3497.42,52.03,49.75,50.02,50.08,48.85,2.45,2.26,27.69,27.98,35.57,35.55,45.7,45.56,2.05,2.15,0.19,-0.28,0.03,0.14,-0.1,8.86,91.91
"Avalanche","COL","07-08",82,3752.83,53.18,50.66,49.28,47.78,52.58,2.47,2.17,27.72,26.99,36.58,37.65,46.65,51,2.22,2,0.3,0.72,-1.07,-4.34,0.22,8.91,91.94
