Player,Pos,Team,Entries,Carries,Carry-in%.entries,Passes,Pass%.entries,Dump-ins,Recovered Dump-ins,Left,Center,Right,Fail,5v5 TOI,Entries/60,Carries/60,Passes/60,Recoveries,Targets,Carry-in,Dump-in,Break-up,Shots off Entries,Passes Allowed,Carry-in%.entry_defense,Break-up%,Pass%.entry_defense,Carry Denial,Pass Denial,Break-up?,Touches,Exits,Possession Exits,Exit%,Possession Exit%,Fail%,Assists,Carry,Pass,Dump,Clear,Fail.exits,Assisted Passes,Assisted Carries,Assisted Turnovers,Icing,Left.exits,Center.exits,Right.exits,5v5 TOI.exits,Touches/60,Exits/60,Possession/60,Fail/60,Assists/60,#,5v5 TOI.forechecking,Applied Pressure,Turnovers Forced,Clears Forced,Pressures/60,Disruptions/60,#.shots,Shots,On Goal,Missed,Chances,Deflection,One-timer,Rebounds,Wrist,Slapshot,Wraparound,Backhand,Passes.shots,A1,A2,A3,Solo Shots,5v5 TOI.shots,Shots/60,Chances/60,Passes/60.shots,A1/60,Contributions/60,PSC/60,Stretch Passes,Home Plate,Low-to-High,Behind Net,High Danger,Home Plate/60,L2H/60,BTN/60,HD/60,One-timer/60
Luke Schenn,D,ANA,2,0,0.0%,0,0.0%,2,0,0,1,1,0,45.39,2.64,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,16,6,66.7%,25.0%,29.2%,2,0,6,5,5,7,2,0,2,1,4,4,16,45.39,31.73,21.15,7.93,9.25,2.644,2,45.39,2,1,0,2.64,1.32,2,10,4,6,0,0,3,0,4,3,0,0,3,1,1,1,2,45.39,13.22,0,3.97,1.32,17.18,14.54,0,0,0,0,0,0,0,0,0,0
Cam Fowler,D,ANA,14,4,28.6%,2,14.3%,10,0,9,6,2,3,166.36,5.05,1.44,0.72,0,91,57,28,6,52,29,62.60%,6.60%,31.90%,-0.018,2.062,-0.882,79,62,28,78.5%,35.4%,20.3%,22,3,25,13,21,16,17,5,4,1,42,19,18,166.36,28.49,22.36,10.1,5.77,7.935,4,166.36,7,0,0,2.52,0,4,22,8,14,3,0,0,0,18,3,0,1,24,8,11,5,1,166.36,7.93,1.08,8.66,2.89,16.59,10.82,2,0,0,0,0,0,0,0,0,0
Andrew Cogliano,LW,ANA,29,9,31.0%,2,6.9%,20,7,13,7,13,4,116.55,14.93,4.63,1.03,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,35,22,83.3%,52.4%,16.7%,0,8,14,5,8,7,0,0,0,0,25,5,12,116.55,21.62,18.02,11.33,3.6,0.000,7,116.55,38,15,2,19.56,8.75,7,24,13,11,10,0,1,2,19,0,0,2,29,21,5,3,11,116.55,12.36,5.15,14.93,10.81,27.28,23.17,0,0,13,0,0,0,6.69,0,0,2.57
Adam Henrique,C,ANA,23,12,52.2%,4,17.4%,11,3,10,7,9,3,124.01,11.13,5.81,1.94,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,23,7,74.2%,22.6%,22.6%,3,4,3,4,12,7,3,0,1,1,17,1,13,124.01,15,11.13,3.39,3.39,1.45,14,124.01,21,9,1,10.16,4.84,14,9,6,3,4,1,1,2,6,0,0,0,25,19,4,2,3,124.01,4.35,1.94,12.1,9.19,16.45,13.55,0,1,7,0,1,0.48,3.39,0,0.48,1.45
Ryan Getzlaf,C,ANA,22,13,59.1%,7,31.8%,9,4,8,7,11,4,98.01,13.47,7.96,4.29,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,37,17,86.0%,39.5%,11.6%,4,6,11,6,14,5,4,0,0,1,14,6,23,98.01,26.32,22.65,10.41,3.06,2.449,15,98.01,16,5,0,9.79,3.06,15,11,8,3,5,1,1,0,9,0,0,0,26,15,7,4,2,98.01,6.73,3.06,15.92,9.18,22.65,15.92,0,0,2,2,2,0,1.22,1.22,1.22,0.61
Ryan Kesler,C,ANA,20,11,55.0%,1,5.0%,9,3,8,4,8,0,108.91,11.02,6.06,0.55,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,5,78.6%,35.7%,21.4%,1,0,5,4,2,3,0,1,1,0,7,2,5,108.91,7.71,6.06,2.75,1.65,0.551,17,108.91,15,6,1,8.26,3.86,17,11,5,6,1,0,1,0,9,1,0,0,12,5,5,2,4,108.91,6.06,0.55,6.61,2.75,12.67,8.81,0,1,2,1,2,0.55,1.1,0.55,1.1,0
Patrick Eaves,RW,ANA,2,2,100.0%,1,50.0%,0,0,0,1,1,0,8.95,13.41,13.41,6.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,75.0%,25.0%,25.0%,0,0,1,0,2,1,0,0,0,0,1,0,3,8.95,26.82,20.11,6.7,6.7,0.000,18,8.95,0,0,0,0,0,18,2,2,0,0,0,0,0,2,0,0,0,3,3,0,0,0,8.95,13.41,0,20.11,20.11,33.52,33.52,0,0,0,0,0,0,0,0,0,0
Pontus Aberg,RW,ANA,26,14,53.8%,5,19.2%,12,2,5,6,16,1,89.5,17.43,9.39,3.35,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,11,90.9%,50.0%,4.5%,1,5,6,1,8,1,0,1,0,1,6,5,11,89.5,14.75,13.41,7.37,0.67,0.670,20,89.5,10,5,1,6.7,4.02,20,13,8,5,4,0,0,0,11,1,0,1,17,10,6,1,2,89.5,8.72,2.68,11.4,6.7,20.11,15.42,0,0,1,1,1,0,0.67,0.67,0.67,0.67
Jake Dotchin,D,ANA,3,0,0.0%,0,0.0%,3,0,0,0,3,0,15.9,11.32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,3,75.0%,37.5%,25.0%,2,0,3,1,2,2,1,1,0,0,3,1,4,15.9,30.19,22.64,11.32,7.55,7.547,21,15.9,1,0,0,3.77,0,21,3,1,2,0,0,2,0,1,0,0,0,1,0,1,0,0,15.9,11.32,0,3.77,0,15.09,11.32,0,0,0,0,0,0,0,0,0,0
Brian Gibbons,LW,ANA,22,10,45.5%,1,4.5%,12,4,5,5,15,4,84.48,15.63,7.1,0.71,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15,7,83.3%,38.9%,16.7%,0,4,3,4,4,3,0,0,0,0,6,6,6,84.48,12.78,10.65,4.97,2.13,0.000,23,84.48,24,13,1,17.05,9.94,23,5,3,2,2,0,1,1,3,0,0,0,12,9,2,1,3,84.48,3.55,1.42,8.52,6.39,12.07,9.94,0,0,3,0,0,0,2.13,0,0,0.71
