Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Adam Henrique,ANA,F,255.54,29,11,61,38,0,14,4,4,6,58,27,14,13,59,51,21,3,7,9,4,2,1,17,11,5,1,0,8,18,10,0,5,0,36,28,46.6%,24.1%,86.4%,35.6%,11.9%,6.81,14.32,8.92,15.73,13.62,6.34,3.29,13.85,11.97,4.93,1.64,0.7,2.11,44.4%,22.2%,25.0%,3.05,64.7%,29.4%,0.94,1.41,2.35,11.97,0,0.94,0.94,3.29,8.45,6.57
Andrew Agozzino,ANA,F,34.78,3,2,10,7,2,3,0,0,1,7,2,0,2,12,11,6,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,7,4,28.6%,0.0%,91.7%,50.0%,8.3%,5.17,17.25,12.07,17.25,12.07,3.45,0,20.7,18.97,10.35,1.72,0,1.72,100.0%,0.0%,0.0%,3.45,0.0%,100.0%,0,1.72,1.72,15.52,3.45,0,3.45,5.17,12.07,6.9
Brendan Guhle,ANA,D,123.39,27,1,7,3,0,0,0,0,5,13,1,0,0,39,24,11,3,13,34,20,3,8,0,0,0,0,2,0,0,0,0,0,0,3,3,7.7%,0.0%,61.5%,28.2%,33.3%,13.13,3.4,1.46,14.59,6.32,0.49,0,18.96,11.67,5.35,6.32,1.46,16.53,58.8%,8.8%,40.0%,0,0.0%,0.0%,0,2.43,2.43,0.97,0,0,0,0,1.46,1.46
Cam Fowler,ANA,D,223.34,28,5,35,24,0,0,0,5,10,24,12,5,0,93,76,47,34,15,86,49,11,15,9,2,3,0,1,16,24,10,0,0,0,8,7,50.0%,20.8%,81.7%,50.5%,16.1%,7.52,9.4,6.45,13.97,6.45,3.22,1.34,24.98,20.42,12.63,4.03,9.13,23.1,57.0%,12.8%,30.6%,0,22.2%,33.3%,1.34,2.69,4.03,5.37,0,0,0,0,2.15,1.88
Carter Rowney,ANA,F,206.52,17,10,41,29,1,10,6,6,3,58,28,11,14,67,51,38,3,13,16,6,4,5,0,0,0,2,6,0,1,1,0,1,0,35,26,48.3%,19.0%,76.1%,56.7%,19.4%,4.94,11.91,8.43,13.36,16.85,8.13,3.2,19.47,14.82,11.04,3.78,0.87,4.65,37.5%,25.0%,83.3%,4.07,0.0%,0.0%,1.74,0.87,2.61,9.3,0.29,1.74,2.03,2.91,10.17,7.55
Christian Djoos,ANA,D,107.82,7,0,15,8,0,0,0,0,3,14,4,2,1,42,26,11,11,11,27,11,1,3,3,1,1,0,0,4,9,7,0,2,0,15,12,28.6%,14.3%,61.9%,26.2%,26.2%,3.9,8.35,4.45,8.35,7.79,2.23,1.11,23.37,14.47,6.12,6.12,6.12,15.03,40.7%,3.7%,27.3%,0.56,33.3%,33.3%,0,1.67,1.67,6.68,0,0,0,0,8.35,6.68
Danton Heinen,ANA,F,93.25,21,14,17,8,0,2,3,1,1,28,16,7,3,24,20,15,0,3,3,1,2,0,8,5,6,0,0,6,2,0,0,0,0,18,15,57.1%,25.0%,83.3%,62.5%,12.5%,13.51,10.94,5.15,18.66,18.02,10.29,4.5,15.44,12.87,9.65,1.93,0,1.93,33.3%,66.7%,0.0%,1.93,62.5%,75.0%,0.64,0.64,1.29,9.65,0,1.93,1.93,1.29,11.58,9.65
David Backes,ANA,F,37.47,8,3,6,4,0,1,0,0,2,12,4,1,1,8,6,5,2,2,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,33.3%,8.3%,75.0%,62.5%,25.0%,12.81,9.61,6.41,19.22,19.22,6.41,1.6,12.81,9.61,8.01,3.2,3.2,6.41,25.0%,25.0%,100.0%,1.6,0.0%,0.0%,0,3.2,3.2,6.41,0,0,0,1.6,0,0
Derek Grant,ANA,F,112.77,15,3,17,13,1,3,0,2,3,32,18,5,3,22,15,7,1,6,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,11,56.3%,15.6%,68.2%,31.8%,27.3%,7.98,9.05,6.92,14.9,17.03,9.58,2.66,11.71,7.98,3.72,3.19,0.53,0.53,100.0%,0.0%,0.0%,1.6,0.0%,0.0%,1.06,1.6,2.66,6.38,0.53,0,0.53,1.6,6.38,5.85
Devin Shore,ANA,F,90.88,14,9,12,10,1,1,1,1,0,19,11,5,2,19,17,5,3,2,4,1,2,1,0,0,0,0,0,0,1,1,0,1,0,15,12,57.9%,26.3%,89.5%,26.3%,10.5%,9.24,7.92,6.6,15.85,12.54,7.26,3.3,12.54,11.22,3.3,1.32,1.98,2.64,25.0%,50.0%,100.0%,1.32,0.0%,0.0%,0.66,0,0.66,7.26,0.66,0.66,1.32,0.66,9.9,7.92
Erik Gudbranson,ANA,D,156.16,24,1,22,9,0,0,0,1,12,16,2,0,0,67,42,14,15,21,47,34,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5%,0.0%,62.7%,20.9%,31.3%,9.22,8.45,3.46,12.68,6.15,0.77,0,25.74,16.14,5.38,8.07,5.76,18.06,72.3%,0.0%,38.2%,0,0.0%,0.0%,0.38,4.61,4.99,3.46,0,0,0,0,0.38,0
Hampus Lindholm,ANA,D,180.06,28,1,35,17,2,0,1,3,14,14,8,3,0,91,69,36,24,20,74,48,8,21,3,1,2,3,2,1,9,5,1,0,0,5,4,57.1%,21.4%,75.8%,39.6%,22.0%,9.33,11.66,5.66,15,4.67,2.67,1,30.32,22.99,12,6.66,8,24.66,64.9%,10.8%,43.8%,0,33.3%,66.7%,1,4.67,5.66,6,0.67,0.33,1,0,1.67,1.33
Isac Lundestrom,ANA,F,31.82,1,0,1,0,0,0,0,0,0,6,3,0,2,8,7,3,0,1,1,1,0,1,1,1,1,0,0,0,2,2,2,0,0,NA,NA,50.0%,0.0%,87.5%,37.5%,12.5%,1.89,1.89,0,1.89,11.31,5.66,0,15.09,13.2,5.66,1.89,0,1.89,100.0%,0.0%,100.0%,3.77,100.0%,100.0%,0,0,0,1.89,0,0,0,0,0,0
