Players,Sum of 5v5 TOI,5v5 Entries,Carry-ins,Failed Entries,Entries w/ Passing Play...6,Recovered Dump-ins,Carries w/Chances,Dump-ins w/ Chances,Forecheck Pressures,Entries/60,Carries/60,Carry%,Pass%...14,Carry Chance%,Pressures/60,Recoveries/60,Entries w/ Chances per 60,Entries w/ Passing Play...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,Player,Sum of 5v5 TOI2,Entry Targets,Carrires Against,Entry Denials,Passes Allowed,Carries w/ Chance Allowed,Dump-in w/ Chance Allowed,Carry Against%,Denial%,Pass%...39,Chance Against%,Targets per 60,Carries Against per 60,Denials per 60,Chances Allowed per 60,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56
5ebastian Aho,223.55,21,7,2,3,0,1,1,0,5.636,1.879,33.3%,14.3%,14.3%,0,0,0.54,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,5ebastian Aho,223.55,92,67,9,14,10,2,72.83%,9.8%,20.9%,13.0%,24.69246254,17.98255424,2.415566987,3.220755983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Greer,30.1,8,5,0,1,0,1,0,4,15.947,9.967,62.5%,12.5%,20.0%,7.97,0,1.99,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aaron Ekblad,443.5,169,83,27,23,22,4,49.11%,16.0%,27.7%,15.4%,22.86358512,11.22886133,3.65276212,3.517474634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Ekblad,443.5,42,19,4,9,0,7,0,6,5.682,2.57,45.2%,21.4%,36.8%,0.81,0,0.95,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adam Boqvist,240.7666667,96,68,10,17,20,2,70.83%,10.4%,25.0%,22.9%,23.92357746,16.94586737,2.492039319,5.482486501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Beckman,10.78,3,3,1,1,0,0,0,3,16.692,16.692,100.0%,33.3%,0.0%,16.69,0,0,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adam Fox,591.3,188,105,35,33,24,1,55.85%,18.6%,31.4%,13.3%,19.07661086,10.65449011,3.551496702,2.536783359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Boqvist,240.77,29,16,7,5,0,5,0,2,7.227,3.987,55.2%,17.2%,31.3%,0.5,0,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adam Larsson,539.6166667,222,128,21,39,34,3,57.66%,9.5%,30.5%,16.7%,24.68418939,14.23232542,2.334990889,4.114031566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Brooks,72.37,14,8,6,4,2,0,0,6,11.608,6.633,57.1%,28.6%,0.0%,4.97,1.66,0,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adam Pelech,625.7333333,240,146,22,33,25,8,60.83%,9.2%,22.6%,13.8%,23.01299808,13.99957383,2.109524824,3.164287236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Erne,322.45,93,31,3,6,26,5,9,26,17.305,5.768,33.3%,6.5%,16.1%,4.84,4.84,2.61,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alec Martinez,223.6666667,77,49,5,11,7,2,63.64%,6.5%,22.4%,11.7%,20.6557377,13.14456036,1.341281669,2.414307004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Fox,591.3,77,38,6,15,2,9,2,11,7.813,3.856,49.4%,19.5%,23.7%,1.12,0.2,1.12,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alec Regula,44.33333333,27,15,5,5,5,2,55.56%,18.5%,33.3%,25.9%,36.54135338,20.30075188,6.766917293,9.473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Gaudette,202.52,62,23,4,4,10,5,2,18,18.369,6.814,37.1%,6.5%,21.7%,5.33,2.96,2.07,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alex Biega,12.35,2,2,0,1,1,0,100.00%,0.0%,50.0%,50.0%,9.71659919,9.71659919,0,4.858299595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Henrique,252.65,63,36,7,16,13,5,1,21,14.961,8.549,57.1%,25.4%,13.9%,4.99,3.09,1.42,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alex Goligoski,507.0833333,173,119,16,37,23,1,68.79%,9.2%,31.1%,13.9%,20.47000822,14.08052588,1.893179951,2.8397699260000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Larsson,539.6166667,48,15,1,8,0,5,2,4,5.337,1.668,31.3%,16.7%,33.3%,0.44,0,0.78,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alex Pietrangelo,668.1166667,237,132,33,49,35,7,55.70%,13.9%,37.1%,17.7%,21.28370794,11.85421708,2.963554269,3.771796343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Lowry,390.23,92,46,18,14,22,7,3,51,14.145,7.073,50.0%,15.2%,15.2%,7.84,3.38,1.54,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alex Vlasic,65.96666667,31,22,3,11,7,2,70.97%,9.7%,50.0%,29.0%,28.19605862,20.01010611,2.728650834,8.185952501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Pelech,625.7333333,88,29,9,11,1,4,5,4,8.438,2.781,33.0%,12.5%,13.8%,0.38,0.1,0.86,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alexander Edler,256.4166667,90,50,9,18,10,3,55.56%,10.0%,36.0%,14.4%,21.05947351,11.69970751,2.105947351,3.041923952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Ruzicka,113.23,30,12,1,5,8,4,0,11,15.896,6.359,40.0%,16.7%,33.3%,5.83,4.24,2.12,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alexander Romanov,369.65,160,91,22,27,31,4,56.88%,13.8%,29.7%,21.9%,25.97051265,14.77072907,3.570945489,5.681049642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
